Category,Sub-Category,Product ID,Product Name,Country,Region,State,City,Postal Code,Customer ID,Customer Name,Order Date,Order ID,Segment,Ship Date,Ship Mode,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Percentage,Quantity,Sales
Household goods,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,20%,1,0,1,0,85.3092,5%,9,"1,706.18"
Automobile,Phones,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,United States,West,California,Los Angeles,90032,BH-11710,Brosina Hoffman,9/06/2015,CA-2015-115812,Consumer,14/06/2015,Standard Class,2018,1,20%,1,0,1,0,68.3568,8%,4,911.424
Stationary,Paper,OFF-PA-10002365,Xerox 1967,United States,South,North Carolina,Concord,28027,AA-10480,Andrew Allen,15/04/2018,CA-2018-114412,Consumer,20/04/2018,Standard Class,2018,1,20%,1,0,0,0,5.4432,35%,3,15.552
Stationary,Binders,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,United States,West,Washington,Seattle,98103,IM-15070,Irene Maddox,5/12/2017,CA-2017-161389,Consumer,10/12/2017,Standard Class,2020,1,20%,1,0,1,0,132.5922,33%,3,407.976
Stationary,Appliances,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",United States,Central,Texas,Fort Worth,76106,HP-14815,Harold Pawlan,22/11/2016,US-2016-118983,Home Office,26/11/2016,Standard Class,2019,1,80%,1,0,1,0,-123.858,-180%,5,68.81
Stationary,Binders,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,United States,Central,Texas,Fort Worth,76106,HP-14815,Harold ,22/11/2016,US-2016-118983,Home Office,26/11/2016,Standard Class,2019,1,80%,1,0,1,0,-3.816,-150%,3,2.544
Stationary,Storage,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",United States,Central,Wisconsin,Madison,53711,PK-19075,Pete Kriz,11/11/2015,CA-2015-105893,Consumer,18/11/2015,Standard Class,2018,1,5%,1,0,1,0,13.3176,2%,6,665.88
Stationary,Storage,OFF-ST-10000107,Fellowes Super Stor/Drawer,United States,West,Utah,West Jordan,84084,AG-10270,Alejandro Grove,13/05/2015,CA-2015-167164,Consumer,15/05/2015,Second Class,2018,1,5%,1,0,1,0,9.99,18%,2,55.5
Stationary,Art,OFF-AR-10003056,Newell 341,United States,West,California,San Francisco,94109,ZD-21925,Zuschuss Donatelli,27/08/2015,CA-2015-143336,Consumer,1/09/2015,Second Class,2018,1,5%,1,0,0,0,2.4824,29%,2,8.56
Automobile,Phones,TEC-PH-10001949,Cisco SPA 501G IP Phone,United States,West,California,San Francisco,94109,ZD-21925,Zuschuss Donatelli,27/08/2015,CA-2015-143336,Consumer,1/09/2015,Second Class,2018,1,20%,1,0,0,0,16.011,7%,3,213.48
Stationary,Binders,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",United States,West,California,San Francisco,94109,ZD-21925,Zuschuss Donatelli,27/08/2015,CA-2015-143336,Consumer,1/09/2015,Second Class,2018,1,20%,1,0,0,0,7.384,33%,4,22.72
Stationary,Art,OFF-AR-10000246,Newell 318,United States,Central,Nebraska,Fremont,68025,KB-16585,Ken Hale,9/12/2017,CA-2017-137330,Corporate,13/12/2017,Standard Class,2020,1,0%,1,0,1,0,5.0596,26%,7,19.46
Stationary,Appliances,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",United States,Central,Nebraska,Fremont,68025,KB-16585,Ken Hale,9/12/2017,CA-2017-137330,Corporate,13/12/2017,Standard Class,2020,1,0%,1,0,1,0,15.6884,26%,7,60.34
Household goods,Chairs,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",United States,East,Pennsylvania,Philadelphia,19140,SF-20065,Sandra Flanagan,16/07/2018,US-2018-156909,Consumer,18/07/2018,Second Class,2018,1,35%,1,1,1,0.5,-1.0196,-1%,2,71.372
Household goods,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,United States,West,Utah,Orem,84057,EB-13870,Emily Burns,25/09/2016,CA-2016-106320,Consumer,30/09/2016,Standard Class,2019,1,0%,1,0,1,0,240.2649,23%,3,"1,044.63"
Stationary,Binders,OFF-BI-10001634,Wilson Jones Active Use Binders,United States,West,California,Los Angeles,90049,EH-13945,Eric Hoffmann,16/01/2017,CA-2017-121755,Consumer,20/01/2017,Second Class,2020,1,20%,1,0,1,0,4.2224,36%,2,11.648
Automobile,Accessories,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,United States,West,California,Los Angeles,90049,EH-13945,Eric Hoffmann,16/01/2017,CA-2017-121755,Consumer,20/01/2017,Second Class,2020,1,0%,1,0,1,0,11.7741,13%,3,90.57
Household goods,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,50%,1,1,1,0.5,"-1,665.05",-54%,7,"3,083.43"
Stationary,Binders,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,70%,1,1,1,0.5,-7.0532,-73%,2,9.618
Household goods,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,20%,1,1,1,0.5,15.525,13%,3,124.2
Stationary,Envelopes,OFF-EN-10001509,Poly String Tie Envelopes,United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,20%,1,1,1,0.5,1.1016,34%,2,3.264
Stationary,Art,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,20%,1,1,1,0.5,9.7092,11%,6,86.304
Stationary,Binders,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,70%,1,1,1,0.5,-5.715,-83%,6,6.858
Stationary,Art,OFF-AR-10001683,Lumber Crayons,United States,East,Pennsylvania,Philadelphia,19140,TB-21520,Tracy Blumstein,17/09/2016,US-2016-150630,Consumer,21/09/2016,Standard Class,2019,1,20%,1,1,1,0.5,3.546,23%,2,15.76
Stationary,Paper,OFF-PA-10000249,Easy-staple paper,United States,Central,Texas,Houston,77095,MA-17560,Matt Abelman,19/10/2018,CA-2018-107727,Home Office,23/10/2018,Second Class,2018,1,20%,1,0,1,0,9.9468,34%,3,29.472
Automobile,Phones,TEC-PH-10004977,GE 30524EE4,United States,Central,Texas,Richardson,75080,GH-14485,Gene Hale,8/12/2017,CA-2017-117590,Corporate,10/12/2017,First Class,2020,1,20%,1,0,0,0,123.4737,11%,7,"1,097.54"
Household goods,Furnishings,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",United States,Central,Texas,Richardson,75080,GH-14485,Gene Hale,8/12/2017,CA-2017-117590,Corporate,10/12/2017,First Class,2020,1,60%,1,0,0,0,-147.963,-78%,5,190.92
Stationary,Envelopes,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",United States,Central,Texas,Houston,77041,SN-20710,Steve Nguyen,27/12/2016,CA-2016-117415,Home Office,31/12/2016,Standard Class,2019,1,20%,1,0,0,0,35.415,31%,9,113.328
Household goods,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",United States,Central,Texas,Houston,77041,SN-20710,Steve Nguyen,27/12/2016,CA-2016-117415,Home Office,31/12/2016,Standard Class,2019,1,32%,1,0,0,0,-46.9764,-9%,3,532.3992
Household goods,Chairs,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",United States,Central,Texas,Houston,77041,SN-20710,Steve Nguyen,27/12/2016,CA-2016-117415,Home Office,31/12/2016,Standard Class,2019,1,30%,1,0,0,0,-15.147,-7%,3,212.058
Automobile,Phones,TEC-PH-10000486,Plantronics HL10 Handset Lifter,United States,Central,Texas,Houston,77041,SN-20710,Steve Nguyen,27/12/2016,CA-2016-117415,Home Office,31/12/2016,Standard Class,2019,1,20%,1,0,0,0,41.7564,11%,4,371.168
Automobile,Phones,TEC-PH-10004093,Panasonic Kx-TS550,United States,Central,Illinois,Naperville,60540,LC-16930,Linda Cazamias,10/09/2018,CA-2018-120999,Corporate,15/09/2018,Standard Class,2018,1,20%,1,0,1,0,16.5564,11%,4,147.168
Stationary,Storage,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",United States,West,California,Los Angeles,90049,RA-19885,Ruben Ausman,17/07/2017,CA-2017-101343,Corporate,22/07/2017,Standard Class,2020,1,0%,1,0,0,0,3.894,5%,2,77.88
Stationary,Storage,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",United States,South,Florida,Melbourne,32935,ES-14080,Erin Smith,19/09/2018,CA-2018-139619,Corporate,23/09/2018,Standard Class,2018,1,20%,1,0,1,0,9.5616,10%,2,95.616
Automobile,Accessories,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",United States,Central,Minnesota,Eagan,55122,ON-18715,Odella Nelson,11/03/2017,CA-2017-118255,Corporate,13/03/2017,First Class,2020,1,0%,1,0,1,0,19.7714,43%,2,45.98
Stationary,Binders,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,United States,Central,Minnesota,Eagan,55122,ON-18715,Odella Nelson,11/03/2017,CA-2017-118255,Corporate,13/03/2017,First Class,2020,1,0%,1,0,1,0,8.2062,47%,2,17.46
Stationary,Storage,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",United States,Central,Michigan,Westland,48185,PO-18865,Patrick O'Donnell,20/10/2015,CA-2015-146703,Consumer,25/10/2015,Second Class,2018,1,5%,1,0,1,0,8.4784,4%,4,211.96
Automobile,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,East,Delaware,Dover,19901,LH-16900,Lena Hernandez,20/06/2017,CA-2017-169194,Consumer,25/06/2017,Standard Class,2020,1,0%,1,1,1,0.5,4.95,11%,3,45
Automobile,Phones,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",United States,East,Delaware,Dover,19901,LH-16900,Lena Hernandez,20/06/2017,CA-2017-169194,Consumer,25/06/2017,Standard Class,2020,1,0%,1,1,1,0.5,6.104,28%,2,21.8
Stationary,Binders,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",United States,Central,Indiana,New Albany,47150,DP-13000,Darren Powers,18/04/2016,CA-2016-115742,Consumer,22/04/2016,Standard Class,2019,1,0%,1,0,1,0,17.9634,47%,6,38.22
Stationary,Labels,OFF-LA-10002762,Avery 485,United States,Central,Indiana,New Albany,47150,DP-13000,Darren Powers,18/04/2016,CA-2016-115742,Consumer,22/04/2016,Standard Class,2019,1,0%,1,0,1,0,35.3346,47%,6,75.18
Household goods,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,United States,Central,Indiana,New Albany,47150,DP-13000,Darren Powers,18/04/2016,CA-2016-115742,Consumer,22/04/2016,Standard Class,2019,1,0%,1,0,1,0,2.9568,48%,2,6.16
Household goods,Chairs,FUR-CH-10003061,"Global Leather Task Chair, Black",United States,Central,Indiana,New Albany,47150,DP-13000,Darren Powers,18/04/2016,CA-2016-115742,Consumer,22/04/2016,Standard Class,2019,1,0%,1,0,1,0,17.0981,19%,1,89.99
Stationary,Fasteners,OFF-FA-10000304,Advantus Push Pins,United States,East,New York,New York City,10024,JM-15265,Janet Molinari,11/12/2017,CA-2017-105816,Corporate,17/12/2017,Standard Class,2020,1,0%,1,1,1,0.5,6.2566,41%,7,15.26
Automobile,Phones,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,United States,East,New York,New York City,10024,JM-15265,Janet Molinari,11/12/2017,CA-2017-105816,Corporate,17/12/2017,Standard Class,2020,1,0%,1,1,1,0.5,298.6855,29%,5,"1,029.95"
Stationary,Storage,OFF-ST-10000604,Home/Office Personal File Carts,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,0%,1,1,0,0.5,52.14,25%,6,208.56
Stationary,Paper,OFF-PA-10001569,Xerox 232,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,0%,1,1,0,0.5,15.552,48%,5,32.4
Household goods,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,10%,1,1,0,0.5,7.098,2%,5,319.41
Stationary,Paper,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,0%,1,1,0,0.5,6.9888,48%,2,14.56
Automobile,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,0%,1,1,0,0.5,3.3,11%,2,30
Stationary,Binders,OFF-BI-10001460,Plastic Binding Combs,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,20%,1,1,0,0.5,16.362,34%,4,48.48
Stationary,Art,OFF-AR-10001868,Prang Dustless Chalk Sticks,United States,East,New York,Troy,12180,TB-21055,Ted Butterfield,17/06/2017,CA-2017-111682,Consumer,18/06/2017,First Class,2020,1,0%,1,1,0,0.5,0.84,50%,1,1.68
Automobile,Accessories,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",United States,West,California,Los Angeles,90004,KM-16720,Kunst Miller,24/11/2016,CA-2016-135545,Consumer,30/11/2016,Standard Class,2019,1,0%,1,0,1,0,6.1512,44%,2,13.98
Stationary,Binders,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",United States,West,California,Los Angeles,90004,KM-16720,Kunst Miller,24/11/2016,CA-2016-135545,Consumer,30/11/2016,Standard Class,2019,1,20%,1,0,1,0,9.3612,36%,6,25.824
Stationary,Paper,OFF-PA-10003892,Xerox 1943,United States,West,California,Los Angeles,90004,KM-16720,Kunst Miller,24/11/2016,CA-2016-135545,Consumer,30/11/2016,Standard Class,2019,1,0%,1,0,1,0,68.9631,47%,3,146.73
Household goods,Furnishings,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,United States,West,California,Los Angeles,90004,KM-16720,Kunst Miller,24/11/2016,CA-2016-135545,Consumer,30/11/2016,Standard Class,2019,1,0%,1,0,1,0,22.3328,28%,4,79.76
Household goods,Chairs,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",United States,Central,Illinois,Chicago,60610,PS-18970,Paul Stevenson,30/04/2016,US-2016-164175,Home Office,5/05/2016,Standard Class,2019,1,30%,1,0,1,0,-15.2225,-7%,5,213.115
Stationary,Art,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",United States,West,Arizona,Gilbert,85234,BS-11590,Brendan Sweed,5/12/2015,CA-2015-106376,Corporate,10/12/2015,Standard Class,2018,1,20%,1,0,1,0,111.3024,10%,8,"1,113.02"
Automobile,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,United States,West,Arizona,Gilbert,85234,BS-11590,Brendan Sweed,5/12/2015,CA-2015-106376,Corporate,10/12/2015,Standard Class,2018,1,20%,1,0,1,0,62.988,38%,4,167.968
Stationary,Paper,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",United States,South,Virginia,Springfield,22153,KD-16270,Karen Daniels,4/06/2017,CA-2017-119823,Consumer,6/06/2017,First Class,2020,1,0%,1,0,1,0,35.6636,47%,2,75.88
Stationary,Binders,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,United States,East,New York,New York City,10009,HM-14980,Henry MacAllister,18/09/2017,CA-2017-106075,Consumer,23/09/2017,Standard Class,2020,1,20%,1,1,1,0.5,1.731,38%,1,4.616
Stationary,Paper,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",United States,Central,Michigan,Jackson,49201,TB-21520,Tracy Blumstein,14/09/2018,CA-2018-114440,Consumer,17/09/2018,Second Class,2018,1,5%,1,0,1,0,8.763,46%,3,19.05
Household goods,Chairs,FUR-CH-10000513,High-Back Leather Manager's Chair,United States,South,Tennessee,Memphis,38109,JE-15745,Joel Eaton,26/04/2016,US-2016-134026,Consumer,2/05/2016,Standard Class,2019,1,20%,1,0,1,0,-114.3912,-14%,8,831.936
Household goods,Furnishings,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",United States,South,Tennessee,Memphis,38109,JE-15745,Joel Eaton,26/04/2016,US-2016-134026,Consumer,2/05/2016,Standard Class,2019,1,20%,1,0,1,0,1.213,1%,2,97.04
Stationary,Storage,OFF-ST-10004123,Safco Industrial Wire Shelving System,United States,South,Tennessee,Memphis,38109,JE-15745,Joel Eaton,26/04/2016,US-2016-134026,Consumer,2/05/2016,Standard Class,2019,1,20%,1,0,1,0,-18.196,-25%,1,72.784
Stationary,Binders,OFF-BI-10004182,Economy Binders,United States,Central,Texas,Houston,77041,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,Corporate,11/12/2018,First Class,2018,1,70%,1,0,1,0,-1.9344,-155%,3,1.248
Household goods,Furnishings,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",United States,Central,Texas,Houston,77041,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,Corporate,11/12/2018,First Class,2018,1,55%,1,0,1,0,-5.8248,-60%,3,9.708
Stationary,Storage,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",United States,Central,Texas,Houston,77041,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,Corporate,11/12/2018,First Class,2018,1,20%,1,0,1,0,2.724,10%,3,27.24
Household goods,Furnishings,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",United States,Central,Texas,Houston,77070,JE-15745,Joel Eaton,26/11/2015,US-2015-147606,Consumer,1/12/2015,Second Class,2018,1,55%,1,0,1,0,-14.475,-75%,5,19.3
Stationary,Appliances,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",United States,South,Alabama,Decatur,35601,SC-20770,Stewart Carmichael,12/06/2017,CA-2017-127208,Corporate,15/06/2017,First Class,2020,1,0%,1,0,1,0,56.2032,27%,1,208.16
Stationary,Binders,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,United States,South,Alabama,Decatur,35601,SC-20770,Stewart Carmichael,12/06/2017,CA-2017-127208,Corporate,15/06/2017,First Class,2020,1,0%,1,0,1,0,8.0352,48%,3,16.74
Stationary,Art,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",United States,West,California,San Francisco,94122,DN-13690,Duane Noonan,12/10/2015,CA-2015-139451,Consumer,16/10/2015,Standard Class,2018,1,5%,1,0,1,0,4.172,28%,5,14.9
Stationary,Storage,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",United States,West,California,San Francisco,94122,DN-13690,Duane Noonan,12/10/2015,CA-2015-139451,Consumer,16/10/2015,Standard Class,2018,1,5%,1,0,1,0,6.2031,29%,1,21.39
Stationary,Envelopes,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,United States,South,North Carolina,Durham,27707,JC-16105,Julie Creighton,3/09/2016,CA-2016-149734,Corporate,8/09/2016,Standard Class,2019,1,20%,1,0,1,0,62.8075,31%,7,200.984
Stationary,Storage,OFF-ST-10003656,Safco Industrial Wire Shelving,United States,Central,Illinois,Chicago,60623,CS-12400,Christopher Schild,13/11/2018,US-2018-119662,Home Office,16/11/2018,First Class,2018,1,20%,1,0,1,0,-48.9549,-21%,3,230.376
Household goods,Chairs,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,United States,South,South Carolina,Columbia,29203,PO-18865,Patrick O'Donnell,28/05/2018,CA-2018-140088,Consumer,30/05/2018,Second Class,2018,1,5%,1,0,1,0,33.2156,11%,2,301.96
Automobile,Accessories,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,United States,Central,Minnesota,Rochester,55901,PG-18895,Paul Gonzalez,26/10/2018,CA-2018-155558,Consumer,2/11/2018,Standard Class,2018,1,5%,1,0,1,0,6.7966,34%,1,19.99
Stationary,Labels,OFF-LA-10000134,Avery 511,United States,Central,Minnesota,Rochester,55901,PG-18895,Paul Gonzalez,26/10/2018,CA-2018-155558,Consumer,2/11/2018,Standard Class,2018,1,5%,1,0,1,0,2.9568,48%,2,6.16
Stationary,Storage,OFF-ST-10003442,Eldon Portable Mobile Manager,United States,Central,Texas,Houston,77095,GM-14455,Gary Mitchum,5/04/2017,CA-2017-159695,Home Office,10/04/2017,Second Class,2020,1,20%,1,0,0,0,13.8572,9%,7,158.368
Stationary,Art,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,United States,West,California,Los Angeles,90036,JS-15685,Jim Sink,17/09/2017,CA-2017-109806,Corporate,22/09/2017,Standard Class,2020,1,0%,1,0,1,0,6.633,33%,3,20.1
Automobile,Phones,TEC-PH-10004093,Panasonic Kx-TS550,United States,West,California,Los Angeles,90036,JS-15685,Jim Sink,17/09/2017,CA-2017-109806,Corporate,22/09/2017,Standard Class,2020,1,20%,1,0,1,0,8.2782,11%,2,73.584
Stationary,Paper,OFF-PA-10000304,Xerox 1995,United States,West,California,Los Angeles,90036,JS-15685,Jim Sink,17/09/2017,CA-2017-109806,Corporate,22/09/2017,Standard Class,2020,1,0%,1,0,1,0,3.1104,48%,1,6.48
Stationary,Paper,OFF-PA-10003177,Xerox 1999,United States,Central,Minnesota,Minneapolis,55407,KB-16315,Karl Braun,31/01/2016,CA-2016-149587,Consumer,5/02/2016,Second Class,2019,1,0%,1,0,1,0,6.2208,48%,2,12.96
Household goods,Furnishings,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",United States,Central,Minnesota,Minneapolis,55407,KB-16315,Karl Braun,31/01/2016,CA-2016-149587,Consumer,5/02/2016,Second Class,2019,1,0%,1,0,1,0,16.5354,31%,3,53.34
Stationary,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,United States,Central,Minnesota,Minneapolis,55407,KB-16315,Karl Braun,31/01/2016,CA-2016-149587,Consumer,5/02/2016,Second Class,2019,1,0%,1,0,1,0,16.1504,49%,2,32.96
Stationary,Binders,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,United States,West,Oregon,Portland,97206,RB-19705,Roger Barcio,6/11/2018,US-2018-109484,Home Office,12/11/2018,Standard Class,2018,1,60%,1,0,1,0,-3.788,-67%,1,5.682
Household goods,Furnishings,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,United States,East,New York,New York City,10009,PN-18775,Parhena Norris,9/11/2018,CA-2018-161018,Home Office,11/11/2018,Second Class,2018,1,5%,1,1,1,0.5,40.5426,42%,7,96.53
